,Country/Territory,2022 Population,2020 Population,2015 Population,2010 Population,2000 Population,1990 Population,1980 Population,1970 Population,Growth Rate
0,Afghanistan,41128771,38972230,33753499,28189672,19542982,10694796,12486631,10752971,1.0257
1,Albania,2842321,2866849,2882481,2913399,3182021,3295066,2941651,2324731,0.9957
2,Algeria,44903225,43451666,39543154,35856344,30774621,25518074,18739378,13795915,1.0164
3,American Samoa,44273,46189,51368,54849,58230,47818,32886,27075,0.9831
4,Andorra,79824,77700,71746,71519,66097,53569,35611,19860,1.01
5,Angola,35588987,33428485,28127721,23364185,16394062,11828638,8330047,6029700,1.0315
6,Anguilla,15857,15585,14525,13172,11047,8316,6560,6283,1.0066
7,Antigua and Barbuda,93763,92664,89941,85695,75055,63328,64888,64516,1.0058
8,Argentina,45510318,45036032,43257065,41100123,37070774,32637657,28024803,23842803,1.0052
9,Armenia,2780469,2805608,2878595,2946293,3168523,3556539,3135123,2534377,0.9962
10,Aruba,106445,106585,104257,100341,89101,65712,62267,59106,0.9991
11,Australia,26177413,25670051,23820236,22019168,19017963,17048003,14706322,12595034,1.0099
12,Austria,8939617,8907777,8642421,8362829,8010428,7678729,7547561,7465301,1.002
13,Azerbaijan,10358074,10284951,9863480,9237202,8190337,7427836,6383060,5425317,1.0044
14,Bahamas,409984,406471,392697,373272,325014,270679,223752,179129,1.0051
15,Bahrain,1472233,1477469,1362142,1213645,711442,517418,362595,222555,1.0061
16,Bangladesh,171186372,167420951,157830000,148391139,129193327,107147651,83929765,67541860,1.0108
17,Barbados,281635,280693,278083,274711,264657,258868,253575,241397,1.0015
18,Belarus,9534954,9633740,9700609,9731427,10256483,10428525,9817257,9170786,0.9955
19,Belgium,11655930,11561717,11248303,10877947,10264343,9959560,9828986,9629376,1.0038
20,Belize,405272,394921,359871,322106,240406,182589,145133,120905,1.0131
21,Benin,13352864,12643123,10932783,9445710,6998023,5133419,3833939,3023443,1.0274
22,Bermuda,64184,64031,63144,63447,61371,57470,53565,52019,1.0
23,Bhutan,782455,772506,743274,705516,587207,558442,415257,298894,1.0064
24,Bolivia,12224110,11936162,11090085,10223270,8592656,7096194,5736088,4585693,1.012
25,Bosnia and Herzegovina,3233526,3318407,3524324,3811088,4179350,4494310,4199820,3815561,0.9886
26,Botswana,2630296,2546402,2305171,2091664,1726985,1341474,938578,592244,1.0162
27,Brazil,215313498,213196304,205188205,196353492,175873720,150706446,122288383,96369875,1.0046
28,British Virgin Islands,31305,30910,29366,27556,20104,15617,11109,9581,1.0059
29,Brunei,449002,441725,421437,396053,333926,261928,187921,133343,1.0081
30,Bulgaria,6781953,6979175,7309253,7592273,8097691,8767778,8980606,8582950,0.9849
31,Burkina Faso,22673762,21522626,18718019,16116845,11882888,9131361,6932967,5611666,1.0259
32,Burundi,12889576,12220227,10727148,9126605,6307659,5483793,4312834,3497834,1.027
33,Cambodia,16767842,16396860,15417523,14363532,12118841,8910808,6198959,6708525,1.0108
34,Cameroon,27914536,26491087,23012646,19878036,15091594,11430520,8519891,6452787,1.0263
35,Canada,38454327,37888705,35732126,33963412,30683313,27657204,24511510,21434577,1.0078
36,Cape Verde,593149,582640,552166,521212,458251,364563,317234,287262,1.0089
37,Cayman Islands,68706,67311,60911,54074,39658,26027,17100,10533,1.0084
38,Central African Republic,5579144,5343020,4819333,4660067,3759170,2809221,2415276,2067356,1.0224
39,Chad,17723315,16644701,14140274,11894727,8259137,5827069,4408230,3667394,1.0316
40,Chile,19603733,19300315,17870124,17004162,15351799,13342868,11469828,9820481,1.0057
41,China,1425887337,1424929781,1393715448,1348191368,1264099069,1153704252,982372466,822534450,1.0
42,Colombia,51874024,50930662,47119728,44816108,39215135,32601393,26176195,20905254,1.0069
43,Comoros,836774,806166,730216,656024,536758,431119,328328,242351,1.0184
44,Cook Islands,17011,17029,17695,17212,15897,17123,17651,20470,1.0005
45,Costa Rica,5180829,5123105,4895242,4622252,3979193,3158253,2414303,1855697,1.0052
46,Croatia,4030358,4096868,4254815,4368682,4548434,4873707,4680144,4492638,0.9927
47,Cuba,11212191,11300698,11339894,11290417,11105791,10626680,9809107,8869636,0.9961
48,Curacao,191163,189288,169572,159380,141424,155446,156851,150385,1.0043
49,Cyprus,1251488,1237537,1187280,1129686,948237,788500,679327,640804,1.0059
50,Czech Republic,10493986,10530953,10523798,10464749,10234710,10301192,10270060,9795744,0.9984
51,Denmark,5882261,5825641,5677796,5550849,5340655,5144623,5125392,4922963,1.0048
52,Djibouti,1120849,1090156,1006259,919199,742033,577173,324121,144379,1.0138
53,Dominica,72737,71995,70007,68755,68346,69481,72978,68895,1.0045
54,Dominican Republic,11228821,10999664,10405832,9775755,8540791,7129004,5755800,4475871,1.01
55,DR Congo,99010212,92853164,78656904,66391257,48616317,35987541,26708686,20151733,1.0325
56,Ecuador,18001000,17588595,16195902,14989585,12626507,10449837,8135845,6172215,1.0114
57,Egypt,110990103,107465134,97723799,87252413,71371371,57214630,43748556,34781986,1.0158
58,El Salvador,6336392,6292731,6231066,6114034,5958482,5367179,4508992,3619090,1.0035
59,Equatorial Guinea,1674908,1596049,1346973,1094524,684977,465549,282509,316955,1.0247
60,Eritrea,3684032,3555868,3340006,3147727,2392880,2149960,1657982,1272748,1.0176
61,Estonia,1326062,1329444,1314657,1331535,1396877,1570674,1476983,1361999,0.998
62,Eswatini,1201670,1180655,1133936,1099920,1030496,854011,598564,442865,1.0079
63,Ethiopia,123379924,117190911,102471895,89237791,67031867,47878073,34945469,28308246,1.0257
64,Falkland Islands,3780,3747,3408,3187,3080,2332,2240,2274,1.0043
65,Faroe Islands,53090,52415,48816,48410,45660,47479,43054,38416,1.0038
66,Fiji,929766,920422,917200,905169,832509,780430,644582,527634,1.0056
67,Finland,5540745,5529468,5479461,5363271,5176209,4986545,4779418,4606621,1.0009
68,France,64626628,64480053,63809769,62444567,58665453,56412897,53713830,50523586,1.0015
69,French Guiana,304557,290969,257026,228453,164351,113931,66825,46484,1.0239
70,French Polynesia,306279,301920,291787,283788,250927,211089,163591,117891,1.0074
71,Gabon,2388992,2292573,2028517,1711105,1272935,983028,749078,597192,1.0204
72,Gambia,2705992,2573995,2253133,1937275,1437539,1040616,718586,528731,1.025
73,Georgia,3744385,3765912,3771132,3836831,4265172,5391636,5145843,4800426,0.9964
74,Germany,83369843,83328988,82073226,81325090,81551677,79370196,77786703,78294583,0.9995
75,Ghana,33475870,32180401,28870939,25574719,19665502,15446982,11865246,8861895,1.0196
76,Gibraltar,32649,32709,32520,31262,27741,27317,28734,26685,0.9994
77,Greece,10384971,10512232,10806641,11033783,11038109,10302255,9307148,8544873,0.9942
78,Greenland,56466,56026,55895,56351,56184,55599,50106,45434,1.004
79,Grenada,125438,123663,118980,114039,107432,99047,94838,98794,1.0066
80,Guadeloupe,395752,395642,399089,403072,424067,391951,334234,318310,0.9992
81,Guam,171774,169231,167978,164905,160188,138263,110286,88300,1.0073
82,Guatemala,17843908,17362718,16001107,14543121,11735894,9084780,6987767,5453208,1.0134
83,Guernsey,63301,62794,61629,60782,59114,57727,52860,52656,1.0037
84,Guinea,13859341,13205153,11625998,10270728,8336967,6354145,4972609,4222374,1.0242
85,Guinea-Bissau,2105566,2015828,1788919,1567220,1230849,973551,831462,591663,1.0218
86,Guyana,808726,797202,755031,747932,759051,747116,778176,705261,1.0052
87,Haiti,11584996,11306801,10563757,9842880,8360225,6925331,5646676,4680812,1.012
88,Honduras,10432860,10121763,9294505,8450933,6656725,5053234,3777990,2782753,1.015
89,Hong Kong,7488865,7500958,7399838,7132438,6731195,5838574,4978544,3955072,0.9992
90,Hungary,9967308,9750573,9844246,9986825,10202055,10375989,10698679,10315366,1.0265
91,Iceland,372899,366669,331060,318333,281462,255019,228263,204468,1.0069
92,India,1417173173,1396387127,1322866505,1240613620,1059633675,870452165,696828385,557501301,1.0068
93,Indonesia,275501339,271857970,259091970,244016173,214072421,182159874,148177096,115228394,1.0064
94,Iran,88550570,87290193,81790841,75373855,65544383,55793629,38520664,28449705,1.0071
95,Iraq,44496122,42556984,37757813,31264875,24628858,17658381,13653369,9811347,1.0221
96,Ireland,5023109,4946119,4665760,4524585,3768950,3485374,3391387,2937637,1.0073
97,Isle of Man,84519,84046,83593,83828,75562,68865,64022,55298,1.003
98,Israel,9038309,8757489,8007778,7328445,6116958,4803254,3744608,2907307,1.0155
99,Italy,59037474,59500579,60232906,59822450,56966397,56756561,56329482,53324036,0.9966
100,Ivory Coast,28160542,26811790,23596741,21120042,16799670,11910540,8303809,5477086,1.0248
101,Jamaica,2827377,2820436,2794445,2733896,2612205,2392030,2135546,1859091,0.9999
102,Japan,123951692,125244761,127250933,128105431,126803861,123686321,117624196,105416839,0.9947
103,Jersey,110778,108319,100561,96151,86192,82874,75124,68347,1.0106
104,Jordan,11285869,10928721,9494246,6931258,5056174,3480587,2216903,1557374,1.0123
105,Kazakhstan,19397998,18979243,17835909,16627837,15236253,16866563,14172710,12265305,1.0105
106,Kenya,54027487,51985780,46851488,41517895,30851606,23162269,16187124,11473087,1.0193
107,Kiribati,131232,126463,116707,107995,88826,75124,60813,57437,1.0183
108,Kuwait,4268873,4360444,3908743,2943356,1934901,1674938,1493870,802786,1.0044
109,Kyrgyzstan,6630623,6424874,5914980,5483774,4935182,4394734,3691209,3016384,1.0158
110,Laos,7529475,7319399,6787419,6323418,5430853,4314443,3297519,2675283,1.0141
111,Latvia,1850651,1897052,1991955,2101530,2392530,2689391,2572037,2397414,0.9876
112,Lebanon,5489739,5662923,6398940,4995800,4320642,3593700,2963702,2381791,0.9816
113,Lesotho,2305825,2254100,2118521,2022747,1998630,1798997,1407672,1023481,1.0107
114,Liberia,5302681,5087584,4612329,4019956,2895224,2209731,1932169,1463563,1.021
115,Libya,6812341,6653942,6192235,6491988,5154790,4236983,2962720,1909177,1.0114
116,Liechtenstein,39327,38756,37355,35926,33026,28765,25003,21089,1.0074
117,Lithuania,2750055,2820267,2963765,3139019,3599637,3785847,3521206,3210147,0.9869
118,Luxembourg,647599,630399,569408,507070,435628,381267,363741,339342,1.0129
119,Macau,695168,676283,615239,557297,431896,350227,245332,247284,1.0125
120,Madagascar,29611714,28225177,24850912,21731053,16216431,11882762,8948162,6639751,1.0241
121,Malawi,20405317,19377061,16938942,14718422,11229387,9539665,6267369,4625141,1.0259
122,Malaysia,33938221,33199993,31068833,28717731,22945150,17517054,13215707,10306508,1.0109
123,Maldives,523787,514438,435582,361575,282507,224957,164887,123243,1.0045
124,Mali,22593590,21224040,18112907,15529181,11239101,8945026,7372581,6153587,1.0314
125,Malta,533286,515357,456579,418755,399212,365392,333587,315414,1.0124
126,Marshall Islands,41569,43413,49410,53416,54224,46047,31988,23969,0.9886
127,Martinique,367507,370391,383515,392181,432543,374271,333786,326428,0.9965
128,Mauritania,4736139,4498604,3946220,3419461,2695003,2006027,1506694,1122198,1.0263
129,Mauritius,1299469,1297828,1293153,1283330,1215930,1090290,954865,830115,1.0004
130,Mayotte,326101,305587,249545,211786,159215,92659,52233,35383,1.0319
131,Mexico,127504125,125998302,120149897,112532401,97873442,81720428,67705186,50289306,1.0063
132,Micronesia,114164,112106,109462,107588,111709,98603,76299,58989,1.0091
133,Moldova,3272996,3084847,3277388,3678186,4251573,4480199,4103240,3711140,1.0691
134,Monaco,36469,36922,36760,33178,32465,30329,27076,24270,0.9941
135,Mongolia,3398366,3294335,2964749,2702520,2450979,2161433,1697780,1293880,1.0151
136,Montenegro,627082,629048,633966,631044,633324,621442,589324,530268,0.9988
137,Montserrat,4390,4500,5059,4938,5138,10805,11452,11402,0.9939
138,Morocco,37457971,36688772,34680458,32464865,28554415,24570814,19678444,15274351,1.0103
139,Mozambique,32969517,31178239,26843246,23073723,17768505,13303459,11413587,8411676,1.0278
140,Myanmar,54179306,53423198,51483949,49390988,45538332,40099553,33465781,27284112,1.0071
141,Namibia,2567012,2489098,2282704,2099271,1819141,1369011,975994,754467,1.0146
142,Nauru,12668,12315,11185,10241,10377,9598,7635,6663,1.0125
143,Nepal,30547580,29348627,27610325,27161567,24559500,19616530,15600442,12501285,1.0171
144,Netherlands,17564014,17434557,17041107,16617116,15899135,14944548,14130387,13037686,1.0036
145,New Caledonia,289950,286403,283032,261426,221537,177264,148599,110982,1.0075
146,New Zealand,5185288,5061133,4590590,4346338,3855266,3397389,3147168,2824061,1.0108
147,Nicaragua,6948392,6755895,6298598,5855734,5123222,4227820,3303309,2444767,1.0143
148,Niger,26207977,24333639,20128124,16647543,11622665,8370647,6173177,4669708,1.0378
149,Nigeria,218541212,208327405,183995785,160952853,122851984,95214257,72951439,55569264,1.0241
150,Niue,1934,1942,1847,1812,2074,2533,3637,5185,0.9985
151,North Korea,26069416,25867467,25258015,24686435,23367059,20799523,17973650,14996879,1.0038
152,North Macedonia,2093599,2111072,2107962,2093828,2037936,2044174,1907023,1656783,0.9954
153,Northern Mariana Islands,49551,49587,51514,54087,80338,48002,17613,10143,1.0014
154,Norway,5434319,5379839,5190356,4889741,4491202,4241636,4085776,3875546,1.0058
155,Oman,4576298,4543399,4191776,2881914,2344253,1804524,1017462,670693,1.0123
156,Pakistan,235824862,227196741,210969298,194454498,154369924,115414069,80624057,59290872,1.0191
157,Palau,18055,17972,17794,18540,19726,15293,12252,11366,1.0017
158,Palestine,5250072,5019401,4484614,3992278,3139954,2124609,1453620,1118241,1.0227
159,Panama,4408581,4294396,3957099,3623617,3001731,2449968,1956987,1516188,1.0132
160,Papua New Guinea,10142619,9749640,8682174,7583269,5508297,3864972,3104788,2489059,1.0194
161,Paraguay,6780744,6618695,6177950,5768613,5123819,4059195,3078912,2408787,1.0115
162,Peru,34049588,33304756,30711863,29229572,26654439,22109099,17492406,13562371,1.0099
163,Philippines,115559009,112190977,103031365,94636700,77958223,61558898,48419546,37435586,1.0147
164,Poland,39857145,38428366,38553146,38597353,38504431,38064255,35521429,32482943,1.0404
165,Portugal,10270865,10298192,10365435,10588401,10300626,10007346,9785252,8683631,0.9981
166,Puerto Rico,3252407,3271564,3497335,3717922,3827108,3543776,3214568,2737619,0.9989
167,Qatar,2695122,2760385,2414573,1713504,645937,441675,277450,118007,1.0026
168,Republic of the Congo,5970424,5702174,5064386,4437884,3134030,2385435,1829256,1396989,1.0231
169,Reunion,974052,957822,922495,890130,785424,658992,551674,473925,1.0082
170,Romania,19659267,19442038,19906079,20335211,21919876,22836234,22125224,19922618,1.0171
171,Russia,144713314,145617329,144668389,143242599,146844839,148005704,138257420,130093010,0.9973
172,Rwanda,13776698,13146362,11642959,10309031,8109989,7319962,5247532,3896367,1.0234
173,Saint Barthelemy,10967,10681,9643,8988,7082,5168,2983,2417,1.0098
174,Saint Kitts and Nevis,47657,47642,47790,47403,45461,40636,43097,44968,1.0011
175,Saint Lucia,179857,179237,175623,170935,159500,142301,121633,103090,1.0011
176,Saint Martin,31791,32552,35020,36458,29610,28127,7776,5802,0.9951
177,Saint Pierre and Miquelon,5862,5906,5978,6052,6274,6324,6106,5537,0.9964
178,Saint Vincent and the Grenadines,103948,104632,106482,109308,113813,112487,107480,98459,0.9963
179,Samoa,222382,214929,203571,194672,184008,168186,164905,142771,1.0165
180,San Marino,33660,34007,33570,31608,26823,23132,21346,18169,0.9975
181,Sao Tome and Principe,227380,218641,201124,182138,143714,120343,97210,77583,1.0192
182,Saudi Arabia,36408820,35997107,32749848,29411929,21547390,16004763,10171710,6106191,1.0128
183,Senegal,17316449,16436119,14356181,12530121,9704287,7536001,5703869,4367744,1.0261
184,Serbia,7221365,7358005,7519496,7653748,7935022,7987529,7777010,7193533,0.9897
185,Seychelles,107118,105530,99240,92409,80060,71057,65290,54379,1.0061
186,Sierra Leone,8605718,8233969,7314773,6436698,4584067,4325388,3367477,2778557,1.022
187,Singapore,5975689,5909869,5650018,5163590,4053602,3022209,2400729,2061831,1.0058
188,Sint Maarten,44175,43621,40205,33034,30489,27845,12243,6260,1.003
189,Slovakia,5643453,5456681,5424444,5396424,5376690,5261305,4973883,4522867,1.0359
190,Slovenia,2119844,2117641,2080862,2057286,1984339,1986024,1901570,1741286,1.0002
191,Solomon Islands,724273,691191,612660,540394,429978,324171,233668,172833,1.0232
192,Somalia,17597511,16537016,13763906,12026649,8721465,6999096,5892224,3720977,1.0312
193,South Africa,59893885,58801927,55876504,51784921,46813266,39877570,29463549,22368306,1.0084
194,South Korea,51815810,51844690,50994401,48813042,46788591,44120039,38170501,32601143,0.9997
195,South Sudan,10913164,10606227,11194299,9714419,6114440,4750817,4192011,3342410,1.0153
196,Spain,47558630,47363807,46431342,46572772,40741651,38889889,37491666,33792617,1.0015
197,Sri Lanka,21832143,21715079,21336697,20668557,18776371,17204094,14943645,12388769,1.0027
198,Sudan,46874204,44440486,38171178,33739933,26298773,21090886,16673586,11305206,1.0267
199,Suriname,618040,607065,575475,546080,478998,412756,375112,379918,1.0082
200,Sweden,10549347,10368969,9849349,9381729,8871043,8548406,8311763,8027702,1.0079
201,Switzerland,8740472,8638613,8281732,7822435,7182059,6711693,6319113,6181227,1.0056
202,Syria,22125249,20772595,19205178,22337563,16307654,12408996,8898954,6319199,1.0376
203,Taiwan,23893394,23821464,23512136,23083083,22194731,20586174,18100281,14957870,1.0014
204,Tajikistan,9952787,9543207,8524063,7621779,6272998,5417860,4045965,2993019,1.0208
205,Tanzania,65497748,61704518,52542823,45110527,34463704,26206012,19297659,13618192,1.03
206,Thailand,71697030,71475664,70294397,68270489,63066603,55228410,45737753,35791728,1.0013
207,Timor-Leste,1341296,1299995,1205813,1088486,878360,758106,642224,554021,1.0154
208,Togo,8848699,8442580,7473229,6571855,5008035,3875947,2838110,2197383,1.0236
209,Tokelau,1871,1827,1454,1367,1666,1669,1647,1714,1.0119
210,Tonga,106858,105254,106122,107383,102603,98727,96708,86484,1.0079
211,Trinidad and Tobago,1531044,1518147,1460177,1410296,1332203,1266518,1127852,988890,1.0035
212,Tunisia,12356117,12161723,11557779,10895063,9893316,8440023,6578156,5047404,1.0076
213,Turkey,85341241,84135428,79646178,73195345,64113547,54324142,44089069,35540990,1.0067
214,Turkmenistan,6430770,6250438,5766431,5267970,4569132,3720278,2862903,2201432,1.014
215,Turks and Caicos Islands,45703,44276,36538,29726,18744,11709,7598,5665,1.0131
216,Tuvalu,11312,11069,10877,10550,9638,9182,7731,5814,1.0096
217,Uganda,47249585,44404611,37477356,32341728,24020697,17586630,13284026,10317212,1.0304
218,Ukraine,39701739,43909666,44982564,45683020,48879755,51589817,49973920,47279086,0.912
219,United Arab Emirates,9441129,9287289,8916899,8481771,3275333,1900151,1014048,298084,1.0081
220,United Kingdom,67508936,67059474,65224364,62760039,58850043,57210442,56326328,55650166,1.0034
221,United States,338289857,335942003,324607776,311182845,282398554,248083732,223140018,200328340,1.0038
222,United States Virgin Islands,99465,100442,102803,106142,108185,100685,96640,63446,0.9937
223,Uruguay,3422794,3429086,3402818,3352651,3292224,3117012,2953750,2790265,0.999
224,Uzbekistan,34627652,33526656,30949417,28614227,24925554,20579100,15947129,12011361,1.016
225,Vanuatu,326740,311685,276438,245453,192074,150882,118156,87019,1.0238
226,Vatican City,510,520,564,596,651,700,733,752,0.998
227,Venezuela,28301696,28490453,30529716,28715022,24427729,19750579,15210443,11355475,1.0036
228,Vietnam,98186856,96648685,92191398,87411012,79001142,66912613,52968270,41928849,1.0074
229,Wallis and Futuna,11572,11655,12182,13142,14723,13454,11315,9377,0.9953
230,Western Sahara,575986,556048,491824,413296,270375,178529,116775,76371,1.0184
231,Yemen,33696614,32284046,28516545,24743946,18628700,13375121,9204938,6843607,1.0217
232,Zambia,20017675,18927715,16248230,13792086,9891136,7686401,5720438,4281671,1.028
233,Zimbabwe,16320537,15669666,14154937,12839771,11834676,10113893,7049926,5202918,1.0204
